n_cut,k_cut,sigma,energy,madelung,time,memory
7,11,5.0408163265306126e-11,-5.718818507158183e-18,-1.7475645946336678,15.77174997329712,0.0
7,12,5.0408163265306126e-11,-5.718818507158216e-18,-1.7475645946336777,19.219958305358887,0.296875
7,13,5.0408163265306126e-11,-5.718818507156366e-18,-1.7475645946331124,23.30568814277649,0.328125
7,14,5.0408163265306126e-11,-5.71881850715637e-18,-1.7475645946331138,31.747029304504395,0.40234375
7,15,5.0408163265306126e-11,-5.71881850715637e-18,-1.7475645946331138,36.93488001823425,0.31640625
7,16,5.0408163265306126e-11,-5.71881850715637e-18,-1.7475645946331138,43.50209093093872,0.8671875
7,17,5.0408163265306126e-11,-5.71881850715637e-18,-1.7475645946331138,51.43815064430237,1.4375
7,18,5.0408163265306126e-11,-5.71881850715637e-18,-1.7475645946331138,60.60249853134155,2.6875
7,19,5.0408163265306126e-11,-5.71881850715637e-18,-1.7475645946331138,69.90009713172913,3.5625
7,20,5.0408163265306126e-11,-5.71881850715637e-18,-1.7475645946331138,87.12006783485413,4.66015625
7,21,5.0408163265306126e-11,-5.71881850715637e-18,-1.7475645946331138,95.95926570892334,6.7421875
7,22,5.0408163265306126e-11,-5.71881850715637e-18,-1.7475645946331138,113.7328691482544,7.546875
7,23,5.0408163265306126e-11,-5.71881850715637e-18,-1.7475645946331138,120.02527356147766,9.01953125
7,24,5.0408163265306126e-11,-5.71881850715637e-18,-1.7475645946331138,133.30947470664978,10.3203125
8,5,5.0408163265306126e-11,-5.719825898876942e-18,-1.7478724348105201,5.941358804702759,0.0
8,6,5.0408163265306126e-11,-5.7198258988769704e-18,-1.7478724348105286,6.918638706207275,0.0
8,7,5.0408163265306126e-11,-5.718822579084565e-18,-1.7475658389386528,8.2348051071167,0.0
8,8,5.0408163265306126e-11,-5.718822579084484e-18,-1.747565838938628,10.025890827178955,0.0
8,9,5.0408163265306126e-11,-5.71881851223172e-18,-1.7475645961840462,12.1603524684906,0.0
8,10,5.0408163265306126e-11,-5.718818512231638e-18,-1.7475645961840214,15.221125841140747,0.0
8,11,5.0408163265306126e-11,-5.718818507158183e-18,-1.7475645946336678,22.76827597618103,0.16015625
8,12,5.0408163265306126e-11,-5.718818507158216e-18,-1.7475645946336777,23.779178142547607,0.29296875
8,13,5.0408163265306126e-11,-5.718818507156366e-18,-1.7475645946331124,28.11835503578186,0.3125
8,14,5.0408163265306126e-11,-5.71881850715637e-18,-1.7475645946331138,28.855884552001953,0.41015625
8,15,5.0408163265306126e-11,-5.71881850715637e-18,-1.7475645946331138,37.11672830581665,0.28515625
8,16,5.0408163265306126e-11,-5.71881850715637e-18,-1.7475645946331138,48.124064922332764,0.8046875
8,17,5.0408163265306126e-11,-5.71881850715637e-18,-1.7475645946331138,53.936190128326416,1.09765625
8,18,5.0408163265306126e-11,-5.71881850715637e-18,-1.7475645946331138,62.35394048690796,2.3515625
8,19,5.0408163265306126e-11,-5.71881850715637e-18,-1.7475645946331138,66.83033776283264,3.2734375
